Compétitions;winamax;unibet;betclic;psel;Zebet;pmu;pokerstars;vbet;joa;netbet;genybet;fp
NRL;https://www.winamax.fr/paris-sportifs/sports/9992/800000108/362;https://www.unibet.fr/sport/rugby-13/nrl-australie/matchs;https://www.betclic.fr/rugby-a-xiii-s52/nrl-c2808;https://www.enligne.parionssport.fdj.fr/paris-rugby-a-xiii/australie/nrl?filtre=391051;https://www.zebet.fr/fr/competition/1539-nrl;https://paris-sportifs.pmu.fr/pari/competition/2327/rugby-%C3%A0-xiii/nrl;https://www.pokerstarssports.fr/#/rugby_league/competitions/15120004;https://www.vbet.fr/paris-sportifs#/RugbyLeague/Australia/9383/14458771;https://www.joabet.fr/fr/sport/paris-sportifs/866/2358997411;https://www.netbet.fr/rugby-a-xiii/hemisphere-sud/nrl;https://sport.genybet.fr/competition/1539-nrl;https://www.france-pari.fr/competition/1539-parier-sur-nrl
Top14;https://www.winamax.fr/paris-sportifs/sports/12/800000111/1600;https://www.unibet.fr/sport/rugby-15/france/top-14;https://www.betclic.fr/rugby-a-xv-s5/france-top-14-c20;https://www.enligne.parionssport.fdj.fr/paris-rugby/france/top-14?filtre=58451913;https://www.zebet.fr/fr/competition/266-top_14;https://paris-sportifs.pmu.fr/pari/competition/1366/rugby/top-14;https://www.pokerstarssports.fr/#/rugby_union/competitions/15263624;https://www.vbet.fr/paris-sportifs#/RugbyUnion/France/10438/17747682;https://www.joabet.fr/fr/sport/paris-sportifs/866/3632828286;https://www.netbet.fr/rugby/france/top-14;https://sport.genybet.fr/competition/266-top-14;https://www.france-pari.fr/competition/266-parier-sur-top-14
Champions Cup;https://www.winamax.fr/paris-sportifs/sports/12/800000112/41152;https://www.unibet.fr/sport/rugby-15/champions-cup;https://www.betclic.fr/rugby-a-xv-s5/champions-cup-c19473;https://www.enligne.parionssport.fdj.fr/paris-rugby/coupes-d-europe/champions-cup?filtre=58476616;https://www.zebet.fr/fr/competition/136-champions_cup;https://paris-sportifs.pmu.fr/pari/competition/1375/rugby/champions-cup;https://www.pokerstarssports.fr/#/rugby_union/competitions/15117557;https://www.vbet.fr/paris-sportifs#/RugbyUnion/Europe/10957/14458771;;https://www.netbet.fr/rugby/champions-cup/champions-cup;https://sport.genybet.fr/competition/136-champions-cup;https://www.france-pari.fr/competition/136-parier-sur-champions-cup
